Model	User Usage Tier	Context Usage Tier	Monthly Input Tokens / User	Monthly Output Tokens / User	Total Monthly Tokens / User	Cost/PDF	Cost/User/Month	Total Cost (5000 Users)
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.01	$0.18	$912.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.01	$0.09	$456.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.00	$0.05	$228.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.02	$0.24	$1,216.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.01	$0.12	$608.00
		Average (16k)	1,60,000	1,60,000	3,20,000	$0.01	$0.06	$304.00
		Conservative (8k)	80,000	80,000	1,60,000	$0.00	$0.03	$152.00
---	---	---	---	---	---	---	---	---
Gemma 3 27B IT	50 PDFs	Aggressive (64k)	32,00,000	32,00,000	64,00,000	$0.04	$1.95	$9,760.00
		Above Avg (32k)	16,00,000	16,00,000	32,00,000	$0.02	$0.98	$4,880.00
		Average (16k)	8,00,000	8,00,000	16,00,000	$0.01	$0.49	$2,440.00
		Conservative (8k)	4,00,000	4,00,000	8,00,000	$0.00	$0.24	$1,220.00
	30 PDFs	Aggressive (64k)	19,20,000	19,20,000	38,40,000	$0.04	$1.17	$5,856.00
		Above Avg (32k)	9,60,000	9,60,000	19,20,000	$0.02	$0.59	$2,928.00
		Average (16k)	4,80,000	4,80,000	9,60,000	$0.01	$0.29	$1,464.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.00	$0.15	$732.00
	15 PDFs	Aggressive (64k)	9,60,000	9,60,000	19,20,000	$0.04	$0.59	$2,928.00
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.02	$0.29	$1,464.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.01	$0.15	$732.00
		Conservative (8k)	1,20,000	1,20,000	2,40,000	$0.00	$0.07	$366.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.04	$0.39	$1,952.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.02	$0.20	$976.00
		Average (16k)	1,60,000	1,60,000	3,20,000	$0.01	$0.10	$488.00
		Conservative (8k)	80,000	80,000	1,60,000	$0.00	$0.05	$244.00
---	---	---	---	---	---	---	---	---
GPT-oss-20b	50 PDFs	Aggressive (64k)	32,00,000	32,00,000	64,00,000	$0.02	$1.18	$5,920.00
		Above Avg (32k)	16,00,000	16,00,000	32,00,000	$0.01	$0.59	$2,960.00
